zcr,spectral_centroid,onset_env_mean,onset_env_std,tempogram_mean,tempogram_std,tempo_mean,chroma_stft_mean,chroma_stft_std,chroma_cqt_mean,chroma_cqt_std,chroma_cens_mean,chroma_cens_std,mfcc_mean,mfcc_std,label,file_path,class_name
0.12283918796551468,2867.198624196343,1.7041750939277465,1.6721160626767728,0.17227289593065348,0.20225825143902418,129.19921875,0.44214470943177003,0.2866940002639187,0.5194514067800307,0.2459234301502744,0.26544273256153317,0.11346139889548988,6.215629523808725,24.041218201294445,9,/Users/milludaltcasa/Desktop/YEAR 3 SEM 2/Audio Machine Learning/Group Project/DJ MIX ANALYSER/DJ_MIX_ANALYSER/user_submission/temp_processing/audio/9_UserMix_30_156.flac,bad
0.04320943795833403,2099.585302141953,2.4995652991660577,3.6161215227204937,0.11375064171688798,0.16056738983583532,129.19921875,0.5276521505231406,0.29123566704227294,0.4451354800243415,0.25568208081400645,0.24864314727948902,0.14666260122986763,3.5800096497146,47.10040438924036,9,/Users/milludaltcasa/Desktop/YEAR 3 SEM 2/Audio Machine Learning/Group Project/DJ MIX ANALYSER/DJ_MIX_ANALYSER/user_submission/temp_processing/audio/9_UserMix_30_56.flac,bad
0.07558892757207494,2790.5901914214296,2.543395836329399,3.74167786757693,0.10180689265435094,0.16676237870464186,129.19921875,0.4371828200660927,0.31767861541241765,0.5751539689370492,0.24299409606569414,0.26956446195756345,0.10328762824123769,1.5100575191667303,44.49936046562908,9,/Users/milludaltcasa/Desktop/YEAR 3 SEM 2/Audio Machine Learning/Group Project/DJ MIX ANALYSER/DJ_MIX_ANALYSER/user_submission/temp_processing/audio/9_UserMix_30_40.flac,bad
0.11118686498392288,2910.7008922959894,3.0697435531001136,4.119716956701443,0.11817120527465783,0.18343662531749882,129.19921875,0.5858240024149067,0.26012388141497017,0.6580930577083591,0.1974340134593706,0.27492013257499054,0.088046885442426,4.258367009422938,35.75595124902861,9,/Users/milludaltcasa/Desktop/YEAR 3 SEM 2/Audio Machine Learning/Group Project/DJ MIX ANALYSER/DJ_MIX_ANALYSER/user_submission/temp_processing/audio/9_UserMix_30_17.flac,bad
0.05323364056483834,2641.2508730117925,3.4220450816931196,4.732277150476102,0.1108095113814305,0.1556953500617788,129.19921875,0.5855160012934453,0.2640581632638736,0.6997944072851963,0.19849769107504153,0.2772850534707889,0.08028905540217861,5.462730133041037,51.206109968727326,9,/Users/milludaltcasa/Desktop/YEAR 3 SEM 2/Audio Machine Learning/Group Project/DJ MIX ANALYSER/DJ_MIX_ANALYSER/user_submission/temp_processing/audio/9_UserMix_30_95.flac,bad
0.09338336112375076,3698.0968974098423,2.297168373422922,3.4542161479635207,0.09927830016782406,0.14482677462407959,129.19921875,0.5622797227866844,0.26190582892145703,0.5510874236102521,0.2343439896119266,0.26747198786266774,0.10859129339703981,2.9553188380145183,55.69776690352072,9,/Users/milludaltcasa/Desktop/YEAR 3 SEM 2/Audio Machine Learning/Group Project/DJ MIX ANALYSER/DJ_MIX_ANALYSER/user_submission/temp_processing/audio/9_UserMix_30_117.flac,bad
0.175729668525576,2984.022459540465,2.02215877816156,2.4751252520264924,0.13215899473208587,0.18122191979377567,129.19921875,0.5319054514418142,0.274424408596655,0.711269195288635,0.19047159951844692,0.28119893579708244,0.06527244312784049,-1.7410335099289083,32.94297804001386,9,/Users/milludaltcasa/Desktop/YEAR 3 SEM 2/Audio Machine Learning/Group Project/DJ MIX ANALYSER/DJ_MIX_ANALYSER/user_submission/temp_processing/audio/9_UserMix_30_101.flac,bad
0.19319757097138468,3675.396552628547,2.1527122234328773,3.5126942522029756,0.14067844300042556,0.19109649493441755,86.1328125,0.4524237547932864,0.2976656422797976,0.5536866434736868,0.2578518715448659,0.2654927870706797,0.1133442253080815,-4.327115576600745,41.4521243357419,9,/Users/milludaltcasa/Desktop/YEAR 3 SEM 2/Audio Machine Learning/Group Project/DJ MIX ANALYSER/DJ_MIX_ANALYSER/user_submission/temp_processing/audio/9_UserMix_30_140.flac,bad
0.1218928524457331,3220.8236117864476,1.9942953908187409,2.8954953388655884,0.1060049151302753,0.15291957759852873,129.19921875,0.4164327760319682,0.29420540669370426,0.5813061943252728,0.24553051543801876,0.2688090331435311,0.10523800232082205,-10.184695287344793,60.81409324055866,9,/Users/milludaltcasa/Desktop/YEAR 3 SEM 2/Audio Machine Learning/Group Project/DJ MIX ANALYSER/DJ_MIX_ANALYSER/user_submission/temp_processing/audio/9_UserMix_30_83.flac,bad
0.11326245391149495,3372.7246484310494,2.380103142079667,3.498070196486782,0.10518985182409941,0.14287849716517095,103.359375,0.5562242060045302,0.27631646753634787,0.6187382423490962,0.21703565155130117,0.27479667637911936,0.08843144222294833,3.5230921292270247,40.10133266880393,9,/Users/milludaltcasa/Desktop/YEAR 3 SEM 2/Audio Machine Learning/Group Project/DJ MIX ANALYSER/DJ_MIX_ANALYSER/user_submission/temp_processing/audio/9_UserMix_30_160.flac,bad
0.24026491347681553,3955.558918354368,1.4589741688117892,1.3333553544235883,0.17755496150273112,0.21287568576736626,129.19921875,0.2974679886696954,0.27859528838902925,0.3797763758238071,0.28210574762290325,0.22408756559717394,0.18198378021096104,-11.964996861390432,20.014821357712997,9,/Users/milludaltcasa/Desktop/YEAR 3 SEM 2/Audio Machine Learning/Group Project/DJ MIX ANALYSER/DJ_MIX_ANALYSER/user_submission/temp_processing/audio/9_UserMix_30_137.flac,bad
